price,region,locality,type,bedrooms,bathrooms,area,form
64000,South,Zurrieq,Garage,0,0,24,
585000,North,Qawra,Flats,3,2,205,Finished
560000,North,Qawra,Flats,3,2,205,Finished
530000,North,Qawra,Flats,3,2,205,Finished
505000,North,Qawra,Flats,3,2,205,Finished
485000,North,Qawra,Flats,3,2,205,Finished
465000,North,Qawra,Flats,3,2,211,Finished
375000,North,Swieqi,Flats,3,2,131,Finished
307000,center,Santa Venera,Gr Floor Maisonette,3,2,160,Furnished
200000,East,Tarxien,Gr Floor Maisonette,2,2,74,Shell form
450000,Gozo,Gozo Ir-Rabat,Townhouse,4,3,270,Semi-Converted
278000,East,Paola,Townhouse,3,1,295,Unconverted
435000,center,Balzan,Flats,3,2,171,Finished
160000,center,Pieta,Shop,0,0,75,Finished
210000,North,St Paul's Bay,Flats,2,0,92,Furnished
135000,center,Pieta,Flats,2,1,76,Finished
135000,center,Pieta,Flats,2,1,65,Finished
150000,center,Pieta,Gr Floor Maisonette,2,1,80,Finished
360000,South,Hamrun,1st Floor Maisonette,3,2,280,Furnished
150000,Gozo,Gozo Ghajnsielem,Flats,2,1,70,Finished
450000,Gozo,Gozo Xaghra,Townhouse,0,0,810,Unconverted
250000,East,Tarxien,Flats,3,2,137,Luxuriously finished
636000,South,Zurrieq,Farmhouse,0,0,338,Unconverted
153000,North,Qawra,Flats,1,1,43,Furnished
260000,Gozo,Gozo Il-Qala,Plot,5,3,192,
230000,Gozo,Gozo Il-Qala,Plot,5,3,154,
300000,center,Sliema,Flats,2,2,92,Finished
320000,South,Gudja,House of Character,3,0,125,Unconverted
305000,North,Qawra,Flats,3,2,132,Furnished
215000,North,Qawra,Flats,2,2,118,Finished
210000,North,Qawra,Flats,2,2,118,Finished
205000,North,Qawra,Flats,2,2,118,Finished
320000,North,Xemxija,Flats,3,2,190,Furnished
200000,North,Qawra,Flats,2,2,118,Finished
289000,center,Attard,Flats,3,2,158,Furnished
168000,East,Senglea,Townhouse,2,2,70,Habitable
205000,North,Qawra,Gr Floor Maisonette,2,2,139,Finished
255000,North,Mellieha,Gr Floor Maisonette,3,2,159,Shell form
1100000,center,The Gardens,Semi-Detached Villa,3,2,340,Luxuriously finished
460000,center,Ta'L-ibrag,Flats,3,2,140,Furnished
329000,center,Sliema,Flats,3,2,109,Needs modernising
2350000,North,Birguma,Detached Bungalow,4,0,380,Luxuriously finished
175000,North,Bugibba,Flats,2,1,75,Ordinary finish
170000,North,Bugibba,Flats,2,1,70,Ordinary finish
420000,North,Rabat,House of Character,2,2,250,Unconverted
238000,South,Gudja,Flats,3,2,112,Finished
238000,South,Gudja,Flats,3,2,115,Finished
745000,East,Valletta,Flats,3,2,180,Luxuriously finished
375000,North,Mellieha,Flats,2,2,141,Finished
280000,East,Fgura,Flats,3,2,156,Furnished
300000,North,Mellieha,Flats,3,2,156,Finished
300000,North,Mellieha,Gr Floor Maisonette,3,2,142,Finished
212000,South,Hamrun,Flats,3,2,152,Finished
800000,center,Pieta,Shop,0,0,251,Finished
932000,North,Rabat,Townhouse,4,2,409,Luxuriously finished
308000,center,Attard,Flats,3,2,115,Finished
235000,center,San Gwann,Flats,2,1,90,Fully Furnished
255000,East,Tarxien,Flats,2,1,112,Luxuriously finished
345000,center,Sliema,Flats,3,2,110,Fully Furnished
250000,center,Birkirkara,House of Character,2,1,105,Unconverted
990000,South,Birzebbuga,Terraced House,3,5,275,Luxuriously finished
425000,North,Naxxar,Townhouse,2,2,150,Converted
365000,North,Naxxar,Townhouse,3,2,220,Semi-Converted
320000,North,Gharghur,Flats,3,2,140,Luxuriously finished
155000,center,Msida,Flats,1,1,56,Luxuriously finished
530000,North,St Paul's Bay,Duplex Penthouse,2,2,160,Fully Furnished
350000,Gozo,Gozo Xlendi,Penthouse,1,1,80,Shell form
245000,East,Zabbar,Penthouse,3,2,130,Partly furnished
195000,center,Pieta,Penthouse,2,2,112,Shell form
185000,East,Fgura,Penthouse,1,2,100,Finished
260000,center,Pieta,Flats,3,2,114,Luxuriously finished
230000,center,Pieta,Flats,2,1,111,Luxuriously finished
155000,center,Pieta,Flats,1,1,60,Luxuriously finished
255000,center,Pieta,Flats,3,2,114,Luxuriously finished
225000,center,Pieta,Flats,2,1,111,Luxuriously finished
150000,center,Pieta,Flats,1,1,60,Luxuriously finished
250000,center,Pieta,Flats,3,2,114,Luxuriously finished
220000,center,Pieta,Flats,2,1,111,Luxuriously finished
145000,center,Pieta,Flats,3,2,60,Luxuriously finished
245000,center,Pieta,Flats,3,2,114,Luxuriously finished
215000,center,Pieta,Flats,1,1,111,Luxuriously finished
140000,center,Pieta,Flats,1,1,60,Luxuriously finished
210000,center,Pieta,Flats,2,1,111,Luxuriously finished
135000,center,Pieta,Flats,1,1,66,Luxuriously finished
320000,center,Lija,Flats,3,2,165,Furnished
425000,North,Rabat,2nd Floor maisonette,3,0,290,Finished
850000,center,Birkirkara,Terraced House,3,0,680,Unconverted
185000,Gozo,Gozo Santa Lucia,Maisonette,1,2,90,Finished
790000,center,Sliema,Flats,3,2,220,Needs modernising
1650000,center,Sliema,Guest House - Hotel,8,0,300,Luxuriously finished
130000,center,Msida,Flats,2,1,52,Shell form
225000,North,Mellieha,Duplex Maisonette,1,2,189,Finished
200000,East,Zabbar,Flats,2,2,95,Finished
650000,Gozo,Gozo Xaghra,Terraced Villa,4,4,200,Shell form
650000,Gozo,Gozo Xaghra,Terraced Villa,4,4,200,Shell form
550000,Gozo,Gozo Xaghra,Terraced Villa,4,4,200,Shell form
560000,center,Santa Venera,Terraced House,4,2,245,Finished
385000,center,Birkirkara,House of Character,2,2,125,Converted
540000,North,Mellieha,Flats,3,0,212,Finished
138000,East,Paola,Flats,1,1,61,Finished
158000,East,Paola,Gr Floor Maisonette,2,1,85,Finished
185000,North,Qawra,Flats,2,2,75,Furnished
325000,North,Swieqi,Flats,2,2,73,Furnished
223000,East,Marsa,Maisonette,2,2,95,Needs modernising
178000,center,Msida,Flats,2,2,98,Finished
173000,center,Msida,Flats,2,2,98,Finished
254000,East,Fgura,Flats,3,2,144,Furnished
195000,center,Gzira,Gr Floor Maisonette,1,0,65,Finished
245000,East,Zabbar,Gr Floor Maisonette,2,1,140,Unconverted
480000,North,Swieqi,Gr Floor Maisonette,3,2,180,Luxuriously finished
750000,North,Gharghur,Semi-Det Bungalow,3,3,278,Luxuriously finished
560000,East,Senglea,Townhouse,3,2,180,Converted
220000,South,Hamrun,Flats,3,2,76,Finished
2970000,North,Bahrija,Farmhouse,0,0,23481,Habitable
180000,East,Paola,Flats,2,0,109,Finished
295000,East,Marsascala,Penthouse,2,2,102,Furnished
45000,North,Swieqi,Garage,0,0,20,Shell form
217000,East,Tarxien,Flats,2,2,107,Luxuriously finished
350000,center,Lija,Gr Floor Maisonette,3,2,170,Finished
178000,center,Msida,Flats,2,2,98,Finished
172000,center,Msida,Flats,2,2,98,Finished
169000,center,Msida,Flats,2,2,98,Finished
167000,East,Marsascala,Flats,2,1,65,Furnished
350000,North,Naxxar,Flats,3,3,160,Luxuriously finished
350000,North,Swieqi,Maisonette,2,2,118,
350000,North,Swieqi,Flats,3,3,118,
340000,North,Swieqi,Flats,3,3,118,
330000,North,Swieqi,Flats,3,3,118,
270000,center,Sliema,Flats,2,1,70,Furnished
349000,North,Gharghur,Flats,2,2,115,Finished
419000,East,Vittoriosa,Townhouse,3,3,155,Unconverted
450000,center,Balzan,Gr Floor Maisonette,3,3,240,Finished
375000,center,Birkirkara,Townhouse,4,2,390,Unconverted
223000,South,Mqabba,Flats,3,2,120,Shell form
120000,East,Floriana,Gr Floor Maisonette,1,1,50,Unconverted
199000,East,Tarxien,Flats,1,1,82,Furnished
225000,Gozo,Gozo Santa Lucia,Penthouse,3,2,160,Shell form
188000,Gozo,Gozo Santa Lucia,Flats,3,2,160,Shell form
198000,East,Zabbar,Flats,3,2,130,Furnished
228000,Gozo,Gozo Santa Lucia,Gr Floor Maisonette,3,2,150,Shell form
780000,Gozo,Gozo Xaghra,Terraced Villa,4,4,200,Shell form
365000,center,Balzan,Flats,3,2,144,Finished
745000,North,Mosta,Terraced House,4,3,200,Luxuriously finished
242000,center,San Gwann,Gr Floor Maisonette,2,0,70,Fully Furnished
615000,East,Vittoriosa,House of Character,2,2,280,Furnished
148000,South,Birzebbuga,Gr Floor Maisonette,2,1,85,Habitable
550000,center,Birkirkara,Terraced House,3,2,280,Finished
220000,East,Paola,Townhouse,2,1,90,Ordinary finish
186000,center,Santa Venera,Flats,2,2,117,Finished
192000,center,Santa Venera,Flats,2,2,115,Finished
181000,center,Santa Venera,Flats,2,2,98,Finished
240000,center,Santa Venera,Flats,3,2,122,Finished
176000,center,Santa Venera,Flats,2,2,97,Finished
234000,center,Santa Venera,Flats,3,2,121,Finished
229000,center,Santa Venera,Flats,3,2,122,Finished
170000,center,Santa Venera,Flats,1,1,102,Finished
250000,center,Santa Venera,Flats,3,2,137,Finished
245000,center,Attard,Penthouse,1,2,96,Finished
450000,East,Valletta,Flats,2,0,87,Finished
375000,East,Vittoriosa,House of Character,4,2,250,Converted
210000,center,Pieta,Flats,2,1,92,Fully Furnished
320000,East,Zejtun,Gr Floor Maisonette,3,2,147,Luxuriously finished
285000,South,Qrendi,Flats,2,2,110,Finished
195000,East,Fgura,Flats,3,2,115,Shell form
370000,South,Zurrieq,Penthouse,2,2,180,Shell form
37500,center,Gzira,Garage,0,0,21,Finished
37500,center,Gzira,Garage,0,0,21,Finished
423000,North,Naxxar,Flats,3,2,182,Furnished
380000,South,Luqa,1st Floor Maisonette,3,0,120,Furnished
295000,center,Sliema,Flats,3,2,77,Finished
795000,East,Marsaxlokk,Terraced House,3,5,375,Furnished
560000,North,Swieqi,Flats,4,0,211,Highly Finished
335000,center,Birkirkara,1st Floor Maisonette,3,2,140,Partly furnished
290000,center,Gzira,Flats,3,1,130,Fully Furnished
329000,East,Zabbar,Maisonette,3,2,111,Furnished
199000,center,Gzira,Flats,2,2,99,Finished
199000,center,Gzira,Flats,2,2,99,Finished
295000,North,St Paul's Bay,Duplex Penthouse,2,1,140,Furnished
230000,center,Gzira,Flats,3,2,98,Furnished
189000,center,St Julians,Commercial,0,1,68,Shell with works
645000,North,Mosta,House of Character,3,2,160,Converted
415000,East,Paola,Townhouse,4,2,327,Furnished
285000,East,Marsascala,Flats,2,2,98,Luxuriously finished
280000,center,San Gwann,Penthouse,2,2,98,Finished
233000,center,San Gwann,Flats,2,2,105,Finished
196000,East,Zejtun,Flats,3,2,118,Shell form
300000,North,Swieqi,Flats,3,2,110,Furnished
0,North,Bahrija,Gr Floor Maisonette,2,2,123,Finished
320000,North,Mosta,Duplex Penthouse,2,2,120,Luxuriously finished
265000,East,Fgura,Flats,3,2,115,Furnished
143000,South,Hamrun,Flats,1,1,50,Finished
175000,South,Hamrun,Flats,2,2,95,Finished
143000,South,Hamrun,Flats,1,1,55,Finished
143000,South,Hamrun,Flats,1,1,50,Finished
175000,South,Hamrun,Flats,2,2,95,Finished
143000,South,Hamrun,Flats,1,1,50,Finished
143000,South,Hamrun,Flats,1,1,50,Finished
100000,South,Hamrun,Maisonette,1,1,60,Needs modernising
333000,center,Santa Venera,Flats,3,2,105,Furnished
850000,center,The Gardens,Semi-Detached Villa,3,3,285,Needs modernising
295000,South,Hamrun,Garage,0,0,135,
155000,center,Msida,Flats,1,1,50,Furnished
295000,center,Swatar,Flats,3,2,155,Finished
220000,center,Swatar,Flats,3,2,92,Finished
295000,center,Swatar,Flats,3,2,160,Finished
330000,center,Swatar,Flats,3,2,154,Finished
593000,East,Senglea,Townhouse,4,1,220,Highly Finished
330000,center,Swatar,Flats,3,2,155,Finished
340000,center,Swatar,Flats,3,2,169,Finished
350000,center,Swatar,Flats,3,2,175,Finished
450000,South,Zebbug,Penthouse,3,2,240,Luxuriously finished
295000,center,Swatar,Flats,3,2,155,Finished
212000,South,Zebbug,Flats,2,2,115,Luxuriously finished
215000,center,Swatar,Flats,2,2,92,Finished
191000,South,Zebbug,Flats,2,2,90,Luxuriously finished
255000,South,Zebbug,Flats,3,2,115,Luxuriously finished
250000,South,Zebbug,Maisonette,2,2,115,Luxuriously finished
295000,center,Swatar,Flats,3,2,160,Finished
250000,South,Zebbug,Maisonette,2,2,115,Luxuriously finished
330000,center,Swatar,Flats,3,2,154,Finished
330000,center,Swatar,Flats,3,2,155,Finished
340000,center,Swatar,Flats,3,2,169,Finished
350000,center,Swatar,Flats,3,2,175,Finished
290000,center,Swatar,Flats,3,2,155,Finished
210000,center,Swatar,Flats,2,2,92,Finished
1180000,center,Sliema,Flats,3,4,259,Luxuriously finished
290000,center,Swatar,Flats,3,2,160,Finished
330000,center,Swatar,Flats,3,2,154,Finished
330000,center,Swatar,Flats,3,2,1525,Finished
382000,Gozo,Gozo Sannat,Terraced House,2,0,100,Fully Furnished
350000,center,Swatar,Flats,3,2,175,Finished
330000,center,Swatar,Gr Floor Maisonette,3,2,186,Finished
280000,center,Swatar,Flats,3,2,176,Finished
330000,center,Swatar,Gr Floor Maisonette,3,2,180,Finished
340000,center,Swatar,Gr Floor Maisonette,3,2,184,Finished
950000,North,Salina,Maisonette,3,0,473,Finished
355000,center,Swatar,Gr Floor Maisonette,3,2,191,Finished
360000,center,Swatar,Gr Floor Maisonette,3,2,202,Finished
1350000,North,Mosta,House of Character,5,3,700,Expert conversion
318000,center,Birkirkara,1st Floor Maisonette,2,1,100,Needs modernising
300000,Gozo,Gozo In-Nadur,Flats,3,2,100,Furnished
145000,Gozo,Gozo Marsalforn,Flats,2,0,85,Furnished
170000,Gozo,Gozo Ghajnsielem,Flats,2,1,100,Finish incomplete
360000,center,San Gwann,Flats,3,1,170,Furnished
280000,center,Gzira,Flats,2,2,79,Luxuriously finished
232000,North,Bugibba,Flats,3,0,110,Furnished
280000,center,San Gwann,Flats,4,2,160,Furnished
325000,center,Attard,Flats,3,0,140,Partly furnished
595000,center,Birkirkara,Terraced House,4,2,210,Furnished
420000,North,Swieqi,Flats,3,2,160,Partly furnished
325000,South,Zurrieq,Penthouse,2,2,135,Furnished
380000,Gozo,Gozo Ghajnsielem,Terraced House,3,2,100,Shell form
265000,Gozo,Gozo Iz-Zebbug,Terraced House,3,3,70,Shell form
295000,Gozo,Gozo Il-Qala,Penthouse,3,2,130,Finished
180000,Gozo,Gozo Ir-Rabat,Maisonette,3,2,165,Shell form
477000,center,Attard,Site,0,0,78,Unconverted
285000,North,Swieqi,Flats,2,1,110,Finished
230000,South,Qormi,Flats,2,2,115,Fully Furnished
360000,East,Tarxien,Maisonette,3,2,184,Fully Furnished
950000,North,Dingli,Townhouse,0,0,343,Unconverted
282000,East,Tarxien,Flats,3,2,144,Highly Finished
250000,South,Birzebbuga,Flats,3,2,90,Furnished
402500,East,Tarxien,Solitary Maisonette,3,1,185,Furnished
530000,South,Santa Lucia,Terraced House,3,2,225,Furnished
320000,North,Mellieha,Flats,3,2,200,Furnished
255000,center,Birkirkara,Flats,3,1,100,Finished
290000,East,Tarxien,Flats,3,2,140,Finished
585000,North,Mosta,1st Floor Maisonette,3,2,280,Furnished
275000,South,Hamrun,1st Flr Mais (2flrs),3,2,145,Furnished
163000,center,Gwardamangia,Flats,2,2,90,Finished
0,East,Marsaxlokk,Flats,2,1,100,Furnished
212000,Gozo,Gozo Kercem,Maisonette,3,1,100,Fully Furnished
375000,North,Mosta,Flats,3,2,155,Luxuriously finished
985000,North,Rabat,Commercial,0,0,200,Expert conversion
440000,North,Mosta,Maisonette,3,2,161,Furnished
255000,South,Qormi,Maisonette,3,2,145,Furnished
270000,North,Qawra,Flats,3,2,123,Fully Furnished
300000,East,Zejtun,Flats,3,2,110,Fully Furnished
345000,North,Naxxar,Flats,3,2,117,Finished
315000,North,Naxxar,Flats,3,2,122,Finished
680000,center,Sliema,Flats,3,2,135,Ordinary finish
345000,center,Ta'L-ibrag,Gr Floor Maisonette,3,2,150,Luxuriously finished
950000,South,Qormi,House of Character,5,3,430,Unconverted
340000,South,Qormi,Solitary Maisonette,4,1,130,Needs modernising
70000,North,Swieqi,Garage,0,0,32,Ordinary finish
240000,North,Swieqi,Flats,2,1,75,Ordinary finish
850000,East,Marsascala,Penthouse,3,2,249,Luxuriously finished
325000,East,Marsascala,Flats,3,2,134,Luxuriously finished
325000,East,Marsascala,Flats,3,2,136,Luxuriously finished
315000,East,Marsascala,Flats,3,2,139,Luxuriously finished
315000,East,Marsascala,Flats,3,2,140,Luxuriously finished
310000,East,Marsascala,Flats,3,2,139,Luxuriously finished
310000,East,Marsascala,Flats,3,2,140,Luxuriously finished
295000,East,Marsascala,Flats,3,2,131,Luxuriously finished
295000,East,Marsascala,Flats,3,2,133,Luxuriously finished
900000,East,Marsascala,Penthouse,3,2,268,Luxuriously finished
225000,East,Marsascala,Flats,1,2,110,Luxuriously finished
350000,East,Marsascala,Flats,3,2,147,Luxuriously finished
295000,East,Marsascala,Flats,3,2,127,Luxuriously finished
310000,East,Marsascala,Flats,3,2,119,Luxuriously finished
320000,East,Marsascala,Flats,3,2,153,Luxuriously finished
295000,East,Marsascala,Flats,3,2,127,Luxuriously finished
300000,East,Marsascala,Flats,3,2,119,Luxuriously finished
320000,East,Marsascala,Flats,3,2,153,Luxuriously finished
295000,East,Marsascala,Flats,3,2,127,Luxuriously finished
295000,East,Marsascala,Flats,3,2,125,Luxuriously finished
310000,East,Marsascala,Flats,3,2,145,Luxuriously finished
295000,East,Marsascala,Flats,3,2,115,Luxuriously finished
300000,East,Marsascala,Gr Floor Maisonette,3,2,158,Luxuriously finished
300000,East,Marsascala,Gr Floor Maisonette,3,2,158,Luxuriously finished
310000,East,Marsascala,Gr Floor Maisonette,3,2,177,Luxuriously finished
350000,East,Marsascala,Gr Floor Maisonette,3,2,233,Luxuriously finished
60000,center,Swatar,Garage,0,0,40,Shell form
136000,center,Swatar,Office,0,0,77,Shell form
171500,center,Swatar,Penthouse,2,2,113,Shell form
174500,center,Swatar,Penthouse,2,2,106,Shell form
143500,center,Swatar,Flats,1,1,58,Shell form
138500,center,Swatar,Flats,1,1,58,Shell form
580000,North,Mellieha,Flats,3,3,200,Fully Furnished
130500,center,Swatar,Flats,1,1,50,Shell form
133000,center,Swatar,Flats,1,1,45,Shell form
223000,South,Birzebbuga,Flats,2,1,100,Ordinary finish
149500,center,Swatar,Flats,2,1,61,Shell form
154500,center,Swatar,Flats,2,1,61,Shell form
375000,center,Sliema,Penthouse,2,2,109,Luxuriously finished
275000,Gozo,Gozo Xaghra,House of Character,3,2,100,Furnished
265000,East,Marsaxlokk,Flats,3,2,125,Finished
380000,North,Qawra,Penthouse,3,3,200,Furnished
215000,Gozo,Gozo Ir-Rabat,Penthouse,3,2,135,Shell form
175000,Gozo,Gozo Ir-Rabat,Flats,3,3,135,Shell form
225000,center,Pieta,Flats,3,1,100,Modernised
540000,center,Sliema,Flats,3,2,160,Ordinary finish
345000,Gozo,Gozo Ir-Rabat,Terraced House,3,2,192,Furnished
525000,Gozo,Gozo Il-Qala,Flats,2,3,200,Finished
265000,Gozo,Gozo Il-Qala,Flats,2,2,155,Finished
239000,center,Pieta,Flats,3,2,130,Finished
365000,North,Rabat,Duplex Penthouse,3,3,170,Furnished
673000,center,Attard,Terraced House,3,2,131,Finished
365000,Gozo,Gozo In-Nadur,Flats,3,2,144,Fully Furnished
400000,North,Mosta,Penthouse,2,2,150,Partly furnished
173000,East,Marsascala,Flats,2,1,85,Furnished
640000,center,Sliema,Flats,3,2,247,Needs modernising
245000,North,Qawra,Flats,3,2,152,Finished
212500,East,Zejtun,Flats,3,1,106,Finished
295000,center,Gzira,Penthouse,2,0,76,Finished
695000,Gozo,Gozo Xaghra,Farmhouse,3,3,100,Furnished
695000,Gozo,Gozo Xaghra,Farmhouse,3,3,100,Furnished
180000,Gozo,Gozo Ghajnsielem,Flats,3,2,110,Shell form
255000,North,Xemxija,Gr Floor Maisonette,2,2,105,Highly Finished
135000,Gozo,Gozo Ix-Xewkija,Duplex Maisonette,2,2,92,Shell form
695000,South,Zurrieq,House of Character,3,3,230,Converted
128000,Gozo,Gozo Marsalforn,Penthouse,1,1,50,Shell form
140000,Gozo,Gozo Marsalforn,Flats,3,2,86,Shell form
298000,North,Mellieha,Flats,3,2,125,Finished
900000,East,Vittoriosa,House of Character,4,2,160,Habitable
320000,Gozo,Gozo Il-Qala,Flats,2,2,150,Shell form
3200000,East,Paola,Site,0,0,2030,Not Applicable
112000,Gozo,Gozo Xlendi,Flats,3,2,76,Shell form
118000,Gozo,Gozo Xlendi,Flats,3,2,76,Shell form
212000,East,Floriana,Flats,2,1,97,Needs modernising
490000,South,Luqa,Terraced House,3,1,436,Finished
255000,Gozo,Gozo In-Nadur,Flats,3,2,205,Shell form
450000,center,Gzira,Duplex Maisonette,2,2,160,Fully Furnished
319500,East,Fgura,1st Floor Maisonette,3,1,160,Ordinary finish
175000,East,Zabbar,Flats,2,1,80,Furnished
430000,East,Zabbar,Townhouse,3,2,210,Shell form
330000,Gozo,Gozo Xaghra,Flats,3,2,100,Furnished
1600000,South,Ghaxaq,Townhouse,8,4,600,Highly Finished
250000,East,Fgura,Flats,3,2,110,Finished
420000,East,Marsascala,Terraced House,2,2,140,Furnished
610000,North,Pembroke,Duplex Maisonette,4,3,180,Luxuriously finished
660000,South,Qrendi,Townhouse,4,5,200,Unconverted
775000,center,Attard,Terraced House,3,4,274,Furnished
180000,center,Santa Venera,Flats,2,2,83,Finished
180000,center,Santa Venera,Flats,2,2,83,Finished
370000,South,Zurrieq,Flats,3,3,154,Finished
360000,South,Zurrieq,Flats,3,3,154,Finished
350000,South,Zurrieq,Flats,3,3,154,Finished
370000,South,Zurrieq,Maisonette,3,2,178,Finished
285000,East,Zabbar,Penthouse,3,2,150,Finished
285000,East,Zabbar,Penthouse,3,2,150,Finished
235000,East,Zabbar,Flats,3,2,150,Finished
230000,East,Zabbar,Flats,3,2,150,Finished
230000,East,Zabbar,Flats,3,2,150,Finished
225000,East,Zabbar,Flats,3,2,150,Finished
220000,East,Zabbar,Flats,3,2,150,Finished
220000,East,Zabbar,Gr Floor Maisonette,2,2,150,Finished
245000,East,Zabbar,Gr Floor Maisonette,2,2,150,Finished
35000,East,Zabbar,Garage,0,0,17,Finished
35000,East,Zabbar,Garage,0,0,17,Finished
35000,East,Zabbar,Garage,0,0,17,Finished
35000,East,Zabbar,Garage,0,0,17,Finished
35000,East,Zabbar,Garage,0,0,17,Finished
35000,East,Zabbar,Garage,0,0,17,Finished
53000,East,Fgura,Garage,0,0,24,Finished
265000,East,Marsaxlokk,Flats,3,2,121,Finished
280000,South,Siggiewi,Penthouse,2,2,109,Shell form
198000,South,Siggiewi,Flats,2,2,99,Shell form
186000,South,Siggiewi,Flats,2,2,100,Shell form
183000,South,Siggiewi,Flats,2,2,100,Shell form
197000,South,Siggiewi,Flats,2,2,110,Shell form
445000,East,Zabbar,House of Character,3,2,135,Shell form
345000,center,Sliema,Flats,3,2,110,Shell form
365000,center,Balzan,Penthouse,2,2,94,Shell form
255000,center,Balzan,Flats,2,1,94,Shell form
255000,center,Balzan,Flats,2,2,94,Shell form
255000,center,Balzan,Flats,2,1,94,Shell form
255000,center,Balzan,Flats,2,2,94,Shell form
225000,center,Balzan,Gr Floor Maisonette,1,1,94,Shell form
255050,center,Balzan,Gr Floor Maisonette,2,2,94,Shell form
40000,center,Balzan,Garage,0,0,20,Shell form
460000,North,Rabat,Townhouse,3,2,175,Finished
430000,Gozo,Gozo In-Nadur,Farmhouse,2,2,360,Unconverted
195000,Gozo,Gozo Xaghra,Flats,3,2,153,Finish incomplete
300000,Gozo,Gozo Ghajnsielem,Townhouse,4,2,215,Unconverted
190000,North,St Paul's Bay,Flats,3,2,120,Furnished
249000,East,Zabbar,Flats,3,2,112,Luxuriously finished
225000,North,Qawra,Flats,2,2,93,Fully Furnished
350000,center,Santa Venera,Flats,3,3,175,Furnished
250000,East,Paola,Gr Floor Maisonette,3,1,210,Unconverted
295000,East,Cospicua,Townhouse,3,3,160,Furnished
140000,center,Msida,Flats,1,1,59,Finished
275000,East,Paola,1st Floor Maisonette,3,1,260,Unconverted
260000,East,Paola,Gr Floor Maisonette,3,1,210,Unconverted
310000,East,Paola,Gr Floor Maisonette,3,1,210,Unconverted
485000,North,Rabat,Gr Floor Maisonette,3,0,285,Luxuriously finished
270000,East,Zabbar,Flats,3,2,146,Furnished
340000,East,Fgura,Penthouse,3,2,194,Finish incomplete
265000,North,Mellieha,Flats,3,2,95,Furnished
250000,East,Fgura,Flats,3,2,173,Finish incomplete
185000,East,Paola,Flats,2,1,95,Shell form
264000,East,Fgura,Gr Floor Maisonette,2,1,120,Ordinary finish
178000,North,Bugibba,Flats,2,2,70,Furnished
310000,North,Bahar ic-Caghaq,Flats,3,3,183,Finished
250000,East,Fgura,Gr Floor Maisonette,3,2,130,Furnished
120000,East,Marsascala,Garage,0,0,75,Not Applicable
315000,North,Mosta,Flats,3,2,155,Luxuriously finished
398000,South,Luqa,Townhouse,3,2,370,Unconverted
297000,center,St Julians,Flats,3,2,95,Furnished
185000,center,St Julians,Flats,1,1,54,Furnished
220000,center,Gzira,Flats,3,1,115,Habitable
371000,Gozo,Gozo Iz-Zebbug,Terraced House,2,3,100,Fully Furnished
